name,follower_count,gender,sum(voteup_count),expertivity
张志广,25,1,0,-0.10197527599999999
Jackpop,11642,1,93,0.201142354
piny,15,-1,0,-0.102236202
Hengkai Guo,1804,1,5,-0.05555655599999999
张华,4856,1,72,0.024078032000000003
归离,27,0,2,-0.101923091
响当当的人物,56,1,5,-0.101166406
陈光,14994,1,20,0.28860472
Hunter Lin,83,1,5,-0.10046190599999999
腾讯云技术社区,26064,-1,174,0.577449703
就是杨宗,3,1,20,-0.102549313
知乎用户,0,1,1,-0.10262759099999999
jun liu,0,1,0,-0.10262759099999999
陈营营,12,-1,0,-0.10231448
闵凯,90,1,5,-0.100279257
饺子的传说,16,-1,11,-0.10221010900000001
Chown,1238,1,6,-0.070324963
Disenchantment,607,1,87,-0.08678938800000001
譚皓,1,1,2,-0.10260149800000001
kaiser,4,1,0,-0.10252322
JASON谈新零售,59,1,0,-0.10108812800000001
智易科技,159,1,44,-0.09847886900000001
爱吃糖的仙女酱,11,0,0,-0.10234057199999999
大明明德,93,-1,1,-0.10020098
杨鹏远,393,1,0,-0.09237320199999999
愚蠢队长,5274,1,248,0.034984735
hain,43,1,2,-0.10150560900000001
dontbeatmycat,949,1,7,-0.077865722
知乎用户,356,1,3,-0.093338628
知乎用户,83,1,5,-0.10046190599999999
大大拉头,86,1,11,-0.100383628
叫我欢哥就好,7,-1,1,-0.102444942
知乎用户,5,0,1,-0.102497128
你也用拉芳,68,0,106,-0.10085329400000001
Domi Zhang,105,1,8,-0.099887869
知乎用户,24,0,1,-0.10200136800000001
Luv Letter,6378,1,17,0.063790955
知乎用户,2,1,1,-0.102575405
钟惑叔,661,-1,223,-0.085380388
管戈,2,-1,5,-0.102575405
蚂蚁george,0,1,0,-0.10262759099999999
不可思议的巫女,59,1,0,-0.10108812800000001
姚岑卓,24083,1,7,0.52576028
jianyang,93,-1,4,-0.10020098
无刀取,0,-1,0,-0.10262759099999999
钱一辉,0,1,0,-0.10262759099999999
王熊貓,104,1,1,-0.099913961
假装不是雷丘,121,0,3,-0.099470387
圆胖肿,9359,1,4,0.141572969
夕随风,5,1,0,-0.102497128
刘dl,259,1,2,-0.09586961
智能小学妹,109,0,0,-0.09978349800000001
廖云丹,0,-1,0,-0.10262759099999999
白冰,558,1,0,-0.088067925
造数科技,7185,-1,51,0.084847676
梅东的狮子,351,-1,16,-0.09346909099999999
goona,0,-1,0,-0.10262759099999999
知乎用户,359,1,4,-0.09326035
知乎用户,4,1,4,-0.10252322
Filestorm,86059,1,274,2.142874703
知乎用户,11,1,1,-0.10234057199999999
KTV唱歌呢吗,24,-1,0,-0.10200136800000001
yang,3094,1,46,-0.021897114
知乎用户,57,0,4,-0.10114031300000001
豆浆,15,0,1,-0.102236202
Oldyoung,23,1,0,-0.102027461
知乎用户,18,1,1,-0.102157924
知乎用户,2070,1,8,-0.048615927
妖梦源码,13,-1,0,-0.102288387
略略略,0,-1,4,-0.10262759099999999
crownpku Wang,6,1,3,-0.102471035
talich,526701,1,15,13.64036621
刘品杰,18485,1,75,0.379693955
刘航,355,1,7,-0.093364721
欧阳思七,3366,1,57,-0.014799929
关平安,2,1,0,-0.102575405
北冰洋,2,1,0,-0.102575405
张阳,46,1,0,-0.101427331
郭兰亭,23,1,11,-0.102027461
王业,9,1,21,-0.10239275699999999
夕小瑶,12266,0,712,0.21742413100000002
Junhong Xu,53,-1,18,-0.101244683
Gary,164,1,0,-0.098348406
邢有玲犀,5,0,0,-0.102497128
极智能,82,-1,6,-0.10048799800000001
皮一下会很欢乐,13,1,2,-0.102288387
灰色小狗,3517,0,21,-0.010859948000000001
青牛,3569,1,0,-0.009503133
知乎用户,44,1,18,-0.10147951699999999
Patrick Zhang,341887,1,282,8.818090087
知乎用户,21908,0,4,0.469008894
我爱机器学习,4292,1,43,0.00936181
吴斌,75,1,11,-0.100670646
知乎用户,1012,0,6,-0.076221888
ho点点,3,-1,3,-0.102549313
Ye Wang,62,1,3,-0.10100985
旺旺,271,1,7,-0.095556498
陈新梢,1726,1,0,-0.057591777999999996
多予多悟,35,1,29,-0.10171435
cowar,0,0,1,-0.10262759099999999
张磊,20833,1,5,0.440959359
钟佑,35,-1,11,-0.10171435
知乎用户,42,1,21,-0.10153170199999999
